initials,date_entered,sorter_ID,occasion_ID,sample_ID,sample_location,collection_date,sorting_date,grids_sampled,order_name,family_name,life_stage,BL_HW,total_counts,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,empty_case,NOTES,,PROOFED BY,PROOF DATE
GS,2/7/25,HA,,ER0524_SURB3,Eagle River,5/1/24,9/23/24,16,Plecoptera,Perlodidae,L,BL,5,7.9,8.2,10.9,5.6,5.3,,,,,,,,,CV,3/13/26
GS,2/7/25,HA,,ER0524_SURB3,Eagle River,5/1/24,9/23/24,16,Ephemeroptera,Ephemerellidae,L,BL,16,5,6.9,6.2,7.3,6.5,4.9,5.9,6.7,6.1,6.8,,,,CV,3/13/26
GS,2/7/25,HA,,ER0524_SURB3,Eagle River,5/1/24,9/23/24,16,Ephemeroptera,Baetidae,L,BL,4,3.4,4.4,4.2,4.1,,,,,,,,,,CV,3/13/26
GS,2/7/25,HA,,ER0524_SURB3,Eagle River,5/1/24,9/23/24,16,Diptera,Chironomidae,L,BL,22,3.1,10.3,4.7,5.2,5.1,6.8,3.6,8.7,3.7,10.1,,,,CV,3/13/26
GS,2/7/25,HA,,ER0524_SURB3,Eagle River,5/1/24,9/23/24,16,Oligochaeta,worm,A,BL,8,7.3,12.3,12.7,10.8,7.5,19.4,10.8,6.3,,,,,,CV,3/13/26
GS,2/7/25,HA,,ER0524_SURB3,Eagle River,5/1/24,9/23/24,16,,snail,A,,2,,,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,HA,,ER0524_SURB4,Eagle River,5/1/24,9/16/24,16,Plecoptera,Perlodidae,L,BL,6,5.1,7.3,3,5.8,5.8,6.6,,,,,,,,CV,3/13/26
GS,2/7/25,HA,,ER0524_SURB4,Eagle River,5/1/24,9/16/24,16,Ephemeroptera,Ephemerellidae,L,BL,21,6,8.2,4.2,6.2,5.9,8.1,4.7,5.8,5.9,6.2,,,,CV,3/13/26
GS,2/7/25,HA,,ER0524_SURB4,Eagle River,5/1/24,9/16/24,16,Ephemeroptera,Baetidae,L,BL,6,4.4,3.7,3.6,3.5,4.2,2.2,,,,,,,,CV,3/13/26
GS,2/7/25,HA,,ER0524_SURB4,Eagle River,5/1/24,9/16/24,16,Trichoptera,Hydropsychidae,L,BL,1,4.2,,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,HA,,ER0524_SURB4,Eagle River,5/1/24,9/16/24,16,Diptera,Chironomidae,P,BL,2,5.4,4.3,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,HA,,ER0524_SURB4,Eagle River,5/1/24,9/16/24,16,Diptera,Chironomidae,L,BL,11,6.8,9.2,2.2,3.2,2.3,5.9,1.2,8.3,,,,,,CV,3/13/26
GS,2/7/25,HA,,ER0524_SURB4,Eagle River,5/1/24,9/16/24,16,Oligochaeta,worm/oligo,A,BL,2,16.1,3.7,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,HA,,ER0524_SURB5,Eagle River,5/1/24,9/14/24,16,Ephemeroptera,Ephemerellidae,L,BL,15,5.4,5.9,5.2,6.5,5.8,5.5,6.2,5,5.8,6.4,,,,CV,3/13/26
GS,2/7/25,HA,,ER0524_SURB5,Eagle River,5/1/24,9/14/24,16,Ephemeroptera,Baetidae,L,BL,5,5.1,5.4,4.2,2.1,3.3,,,,,,,,,CV,3/13/26
GS,2/7/25,HA,,ER0524_SURB5,Eagle River,5/1/24,9/14/24,16,Trichoptera,Hydropsychidae,L,BL,1,7.4,,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,HA,,ER0524_SURB5,Eagle River,5/1/24,9/14/24,16,Diptera,Chironomidae,P,BL,4,5,5.1,4.9,4.7,,,,,,,,,,CV,3/13/26
GS,2/7/25,HA,,ER0524_SURB5,Eagle River,5/1/24,9/14/24,16,Diptera,Chironomidae,L,BL,4,7.5,3.7,6.3,4.6,,,,,,,,,,CV,3/13/26
GS,2/7/25,HA,,ER0524_SURB5,Eagle River,5/1/24,9/14/24,16,,Worm(annelid),A,BL,2,10.2,,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB1,C1.5,5/16/24,10/15/24,16,Ephemeroptera,Ephemerellidae,L,BL,3,3.7,2.8,2.5,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB1,C1.5,5/16/24,10/15/24,16,Ephemeroptera,Heptageniidae,L,BL,6,5,5,3.2,4,2.7,2.8,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB1,C1.5,5/16/24,10/15/24,16,Ephemeroptera,Baetidae,L,BL,75,4.4,3.6,2.3,3.1,3.9,2.5,4.5,2.3,2.3,4.1,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB1,C1.5,5/16/24,10/15/24,16,Trichoptera,Brachycentridae,L,BL,1,11.4,,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB1,C1.5,5/16/24,10/15/24,16,Trichoptera,Glossosomatidae,L,BL,1,7.2,,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB1,C1.5,5/16/24,10/15/24,16,Trichoptera,Hydropsychidae,L,BL,1,5.8,,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB1,C1.5,5/16/24,10/15/24,16,Trichoptera,Lepidostomatidae,L,BL,1,4,,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB1,C1.5,5/16/24,10/15/24,16,Coleoptera,Elmidae,L,BL,2,5,3.1,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB1,C1.5,5/16/24,10/15/24,16,Diptera,Chironomidae,L,BL,18,2.1,5.2,6.9,3.8,5.2,3.6,4.9,4.2,1.9,3.1,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB1,C1.5,5/16/24,10/15/24,16,Diptera,Simuliidae,L,BL,8,4.1,4.9,6.3,7.1,5.1,6.4,5,5.1,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB1,C1.5,5/16/24,10/15/24,16,Ephemeroptera,Heptageniidae,P,BL,2,8.5,6.9,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB1,C1.5,5/16/24,10/15/24,16,Ephemeroptera,Baetidae,P,BL,11,5.9,6.9,6,5,4.9,4.8,3.3,3.7,3.1,4.6,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB1,C1.5,5/16/24,10/15/24,16,Diptera,Chironomidae,P,BL,3.2,2.6,3.3,2.7,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB1,C1.5,5/16/24,10/15/24,16,Diptera,Simuliidae,P,BL,54,5.2,4.1,3.9,3.2,3.1,4,3.9,3.8,4,3,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB1,C1.5,5/16/24,10/15/24,16,Diptera,Limoniidae,L,BL,3,8,6.1,6.1,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB2,C1.5,5/16/24,10/28/24,8,Ephemeroptera,Ephemerellidae,L,BL,4,8.3,3.7,3.9,1.9,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB2,C1.5,5/16/24,10/28/24,8,Ephemeroptera,Heptageniidae,L,BL,8,3.4,5.5,5.9,2.5,7.3,3.7,2,1.6,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB2,C1.5,5/16/24,10/28/24,8,Ephemeroptera,Baetidae,L,BL,38,2.8,4.6,2.9,3.6,3,3.4,3.5,2.2,2.9,3,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB2,C1.5,5/16/24,10/28/24,8,Trichoptera,Glossosomatidae,L,BL,3,3.7,5.1,4.7,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB2,C1.5,5/16/24,10/28/24,8,Trichoptera,Hydropsychidae,L,BL,8,21,12,19.1,8.5,10.3,9.4,4.9,4.6,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB2,C1.5,5/16/24,10/28/24,8,Trichoptera,Rhyacophilidae,L,BL,1,6.2,,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB2,C1.5,5/16/24,10/28/24,8,Trichoptera,Lepidostomatidae,L,HW,2,0.3,0.2,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB2,C1.5,5/16/24,10/28/24,8,Trichoptera,Lepidostomatidae,L,BL,3,1.8,1.7,1.6,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB2,C1.5,5/16/24,10/28/24,8,Coleoptera,Elmidae,L,BL,9,6,4.5,5.7,4.9,4.9,5.1,4.8,5,4.6,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB2,C1.5,5/16/24,10/28/24,8,Diptera,Chironomidae,L,BL,23,6.1,4.8,4.7,5.5,7.9,4.6,7.4,3.9,2.7,5.1,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB2,C1.5,5/16/24,10/28/24,8,Diptera,Simuliidae,L,BL,51,7.3,7.6,4.5,7.8,6.5,6.8,5.9,5.5,8.1,6.2,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB2,C1.5,5/16/24,10/28/24,8,Ephemeroptera,Baetidae,P,BL,31,6.4,7.6,5.1,7.8,7.4,3.8,7.1,5.2,6.1,3.3,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB2,C1.5,5/16/24,10/28/24,8,Diptera,Chironomidae,P,BL,13,4.1,3.3,3.5,2.6,3.4,3.5,3.8,3.4,4.1,3,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB2,C1.5,5/16/24,10/28/24,8,Coleoptera,Elmidae,A,BL,1,3.6,,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB2,C1.5,5/16/24,10/28/24,8,Ephemeroptera,Leptophlebiidae,L,BL,4,6.7,7.1,4.7,4,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB2,C1.5,5/16/24,10/28/24,8,Diptera,Limoniidae,L,BL,5,4.7,6,6.8,6.4,6.3,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB2,C1.5,5/16/24,10/28/24,8,,Cicadellidae,L,BL,1,5.2,,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB2,C1.5,5/16/24,10/28/24,8,Diptera,Simuliidae,P,BL,13,4.9,2.8,4.9,3.7,4.7,4.8,4.5,5.1,4.5,3.7,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB3,C1.5,5/16/24,1/24/25,6,Plecoptera,Perlodidae,L,BL,2,3.2,4.3,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB3,C1.5,5/16/24,1/24/25,6,Ephemeroptera,Ephemerellidae,L,BL,3,12,10,4.1,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB3,C1.5,5/16/24,1/24/25,6,Ephemeroptera,Heptageniidae,L,BL,12,6.9,3.4,5.2,5.1,1.7,3.8,1.7,2.3,2.3,2.4,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB3,C1.5,5/16/24,1/24/25,6,Ephemeroptera,Baetidae,L,BL,37,3.2,2.9,3.6,2.3,3.5,2.1,2.8,3.8,2.6,2.5,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB3,C1.5,5/16/24,1/24/25,6,Ephemeroptera,Leptophlebidae,L,BL,1,4.8,,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB3,C1.5,5/16/24,1/24/25,6,Trichoptera,Brachycentridae,L,BL,7,6.2,4.8,4.3,5.5,4.5,1.6,1.7,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB3,C1.5,5/16/24,1/24/25,6,Trichoptera,Brachycentridae,L,HW,2,0.6,1.3,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB3,C1.5,5/16/24,1/24/25,6,Trichoptera,Glossosomatidae,L,BL,1,3.4,,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB3,C1.5,5/16/24,1/24/25,6,Trichoptera,Hydropsychidae,L,BL,19,10.1,4.2,21,12,7.6,4.5,8.8,5,3.6,19,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB3,C1.5,5/16/24,1/24/25,6,Trichoptera,Rhyacophilidae,L,BL,4,16,12.2,7.5,4.3,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB3,C1.5,5/16/24,1/24/25,6,Trichoptera,Lepidostomatidae,L,BL,3,1.3,1.2,1.6,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB3,C1.5,5/16/24,1/24/25,6,Trichoptera,Lepidostomatidae,L,HW,1,0.2,,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB3,C1.5,5/16/24,1/24/25,6,Coleoptera,Elmidae,L ,BL,4,4.1,4.2,5.4,4.4,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB3,C1.5,5/16/24,1/24/25,6,Diptera,Limoniidae,L,BL,1,4.4,,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB3,C1.5,5/16/24,1/24/25,6,Diptera,Chironomidae,L,BL,35,5.2,2.3,4.8,6.7,2.2,2.9,5.6,6.1,4.2,4.3,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB3,C1.5,5/16/24,1/24/25,6,Diptera,Simuliidae,L,BL,21,7.1,7.3,5.6,8.1,7.2,5.6,7.1,6.1,6.6,6.5,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB3,C1.5,5/16/24,1/24/25,6,Diptera,Athericidae,L,BL,7,7.2,7,7.3,7.6,7.5,5.5,6.6,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB3,C1.5,5/16/24,1/24/25,6,Ephemeroptera,Heptageniidae,P,BL,3,7.3,6.7,4.6,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB3,C1.5,5/16/24,1/24/25,6,Ephemeroptera,Baetidae,P,BL,36,5.2,5.3,6.5,3.4,6.6,7.1,2.4,5.1,4.8,6.8,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB3,C1.5,5/16/24,1/24/25,6,Ephemeroptera,Leptophlebidae,P,BL,4,6.5,6.9,5.6,3.9,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB3,C1.5,5/16/24,1/24/25,6,Diptera,Chironomidae,P,BL,14,3.1,2.8,3.1,3.3,3.6,3.8,2.1,3.4,3.2,2.9,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB3,C1.5,5/16/24,1/24/25,6,Diptera,Simuliidae,P,BL,10,3.6,3.2,2.7,5.1,4.1,3.6,4.1,3.2,3.8,3.1,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB3,C1.5,5/16/24,1/24/25,6,Diptera,Simuliidae,A,BL,2,3.2,4.5,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB3,C1.5,5/16/24,1/24/25,6,Trichoptera,Glossosomatidae,P,BL,1,5.9,,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB4,C1.5,5/16/24,1/28/25,16,Ephemeroptera,Ephemerellidae,L,BL,5,11,3.7,2.5,1.9,3,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB4,C1.5,5/16/24,1/28/25,16,Ephemeroptera,Heptageniidae,L,BL,14,5.5,1.7,2.6,3.3,2.8,1.6,3,2.2,2,2.6,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB4,C1.5,5/16/24,1/28/25,16,Ephemeroptera,Baetidae,L,BL,28,2,3.1,2.7,3.3,2.6,2.6,3,2.5,2.5,3.2,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB4,C1.5,5/16/24,1/28/25,16,Ephemeroptera,Leptophlebidae,L,BL,1,5,,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB4,C1.5,5/16/24,1/28/25,16,Trichoptera,Brachycentridae,L,BL,9,6.4,6.9,4.8,6.2,4.1,4.8,4.4,4.3,5.1,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB4,C1.5,5/16/24,1/28/25,16,Trichoptera,Glossosomatidae,L,BL,9,3.6,3,3.9,2.9,2.9,3,1.6,3,2.7,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB4,C1.5,5/16/24,1/28/25,16,Trichoptera,Hydropsychidae,L,BL,12,20,8.6,10.3,7.3,4.6,7.4,3.7,8.4,8,7.5,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB4,C1.5,5/16/24,1/28/25,16,Trichoptera,Lepidostomatidae,L,BL,9,1.7,1.5,1.6,1.7,1.8,2.5,2.5,1.6,2.9,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB4,C1.5,5/16/24,1/28/25,16,Coleoptera,Elmidae,L,BL,2,5.3,4.9,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB4,C1.5,5/16/24,1/28/25,16,Diptera,Chironomidae,L,BL,30,5.2,5.1,2.6,5.2,2.9,2.5,4.6,2.7,5.7,3.7,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB4,C1.5,5/16/24,1/28/25,16,Diptera,Simuliidae,L,BL,37,7.6,7,4.6,7.1,3.2,4.3,7.1,6.6,6.7,6.8,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB4,C1.5,5/16/24,1/28/25,16,Ephemeroptera,Ephemerellidae,P,BL,4,10,10.2,9.8,10,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB4,C1.5,5/16/24,1/28/25,16,Ephemeroptera,Baetidae,P,BL,22,3.9,5.9,3.4,8.1,6.4,4.7,3.1,4,4.5,3.7,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB4,C1.5,5/16/24,1/28/25,16,Diptera,Limoniidae,L,BL,2,6.3,8.2,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB4,C1.5,5/16/24,1/28/25,16,Diptera,Chironomidae,P,BL,11,2.9,2.8,2.9,3.1,3.2,3.1,3.4,3.1,2.2,2.6,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB4,C1.5,5/16/24,1/28/25,16,Diptera,Simuliidae,P,BL,16,3.4,3.1,3.5,4.9,2.9,3.8,3.3,3.5,3.2,3.6,,,,CV,3/13/26
GS,2/7/25,GS,,C1.50524_SURB5,C1.5,5/16/24,1/29/25,8,Ephemeroptera,Ephemerellidae,L,BL,8,10.2,2.5,2.1,3,2.7,3.1,2.2,3.4,,,,,,,
GS,2/7/25,GS,,C1.50524_SURB5,C1.5,5/16/24,1/29/25,8,Ephemeroptera,Heptageniidae,L,BL,8,4.6,7.7,1.5,2.2,1.9,1.7,2.8,1.2,,,,,,,
GS,2/7/25,GS,,C1.50524_SURB5,C1.5,5/16/24,1/29/25,8,Ephemeroptera,Heptageniidae,L,HW,2,1.6,0.7,,,,,,,,,,,,,
GS,2/7/25,GS,,C1.50524_SURB5,C1.5,5/16/24,1/29/25,8,Ephemeroptera,Baetidae,L,BL,18,1.9,2.9,3.3,3.2,2.6,2.4,2,3.1,2.7,2.3,,,,,
GS,2/7/25,GS,,C1.50524_SURB5,C1.5,5/16/24,1/29/25,8,Trichoptera,Brachycentridae,L,BL,1,5.4,,,,,,,,,,,,,,
GS,2/7/25,GS,,C1.50524_SURB5,C1.5,5/16/24,1/29/25,8,Trichoptera,Glossosomatidae,L,BL,6,3.4,3,5,3.4,2.2,5.4,,,,,,,,,
GS,2/7/25,GS,,C1.50524_SURB5,C1.5,5/16/24,1/29/25,8,Trichoptera,Hydropsychidae,L,BL,6,13,14,8.5,9.1,9.5,7.3,1.2,,,,,,,,
GS,2/7/25,GS,,C1.50524_SURB5,C1.5,5/16/24,1/29/25,8,Trichoptera,Lepidostomatidae,L,BL,17,3.6,6.7,1.7,1.6,3.1,1.8,1.5,5.7,1.6,1.6,,,,,
GS,2/7/25,GS,,C1.50524_SURB5,C1.5,5/16/24,1/29/25,8,Coleoptera,Elmidae,L,BL,4,5.2,5.9,5.1,5,,,,,,,,,,,
GS,2/7/25,GS,,C1.50524_SURB5,C1.5,5/16/24,1/29/25,8,Diptera,Tipulidae,L,BL,1,5.3,,,,,,,,,,,,,,
GS,2/7/25,GS,,C1.50524_SURB5,C1.5,5/16/24,1/29/25,8,Diptera,Chironomidae,L ,BL,9,3.3,4.1,6,2.6,6.1,4.6,7.4,4.9,6.7,,,,,,
GS,2/7/25,GS,,C1.50524_SURB5,C1.5,5/16/24,1/29/25,8,Diptera,Simuliidae,L,BL,35,6.7,5,6.9,7.6,7.5,6.8,7.1,5.5,6.6,7.4,,,,,
GS,2/7/25,GS,,C1.50524_SURB5,C1.5,5/16/24,1/29/25,8,Ephemeroptera,Heptageniidae,P,BL,2,7.5,7.6,,,,,,,,,,,,,
GS,2/7/25,GS,,C1.50524_SURB5,C1.5,5/16/24,1/29/25,8,Ephemeroptera,Baetidae,P,BL,17,6.4,5.8,5.6,4.1,3.6,2.5,2.5,5.1,5.2,4.3,,,,,
GS,2/7/25,GS,,C1.50524_SURB5,C1.5,5/16/24,1/29/25,8,Trichoptera,Glossosomatidae,P,BL,4,5.6,6.1,6.5,6.6,,,,,,,,,,,
GS,2/7/25,GS,,C1.50524_SURB5,C1.5,5/16/24,1/29/25,8,Diptera,Chironomidae,P,BL,19,3.7,2.6,3.4,2.6,3.1,3.9,2.7,3.2,2.8,2.7,,,,,
GS,2/7/25,GS,,C1.50524_SURB5,C1.5,5/16/24,1/29/25,8,Diptera,Simuliidae,P,BL,68,3.7,3.2,3.3,3.6,4,3.5,3.4,5.6,4,3.9,,,,,
GS,2/7/25,GS,,C1.50524_SURB5,C1.5,5/16/24,1/29/25,8,Diptera,Simuliidae,A,BL,2,5.2,3,,,,,,,,,,,,,
GS,2/7/25,GS/SV,,C20524_SURB1,C2,5/17/24,10/2/24,11,Ephemeroptera,Ephemerellidae,L,BL,10,9.5,2.3,9.1,11.5,2.4,9.2,9.5,11.5,1.9,10.1,,,,,
GS,2/7/25,GS/SV,,C20524_SURB1,C2,5/17/24,10/2/24,11,Ephemeroptera,Heptageniidae,L,BL,3,4.8,6.3,7,,,,,,,,,,,,
GS,2/7/25,GS/SV,,C20524_SURB1,C2,5/17/24,10/2/24,11,Ephemeroptera,Heptageniidae,L,HW,1,1.6,,,,,,,,,,,,,,
GS,2/7/25,GS/SV,,C20524_SURB1,C2,5/17/24,10/2/24,11,Ephemeroptera,Baetidae,L,BL,47,4.8,4.6,4.4,5.4,7.6,3.3,3.9,2.8,3.7,2.7,,,,,
GS,2/7/25,GS/SV,,C20524_SURB1,C2,5/17/24,10/2/24,11,Ephemeroptera,Leptophlebidae,L,BL,13,5.4,3.5,5.8,3.6,4.7,4.7,7,2.9,3,6.5,,,,,
GS,2/7/25,GS/SV,,C20524_SURB1,C2,5/17/24,10/2/24,11,Trichoptera,Brachycentridae,L,BL,25,6.3,7,5.7,7.6,8,4,6.7,5.6,5.7,4.9,,,,,
GS,2/7/25,GS/SV,,C20524_SURB1,C2,5/17/24,10/2/24,11,Trichoptera,Glossosomatidae,L,BL,2,6,9,,,,,,,,,,,,,
GS,2/7/25,GS/SV,,C20524_SURB1,C2,5/17/24,10/2/24,11,Trichoptera,Hydropsychidae,L,BL,5,9.2,4.5,8,9.7,5.3,,,,,,,,,,
GS,2/7/25,GS/SV,,C20524_SURB1,C2,5/17/24,10/2/24,11,Coleoptera,Elmidae,L,BL,1,5.4,,,,,,,,,,,,,,
GS,2/7/25,GS/SV,,C20524_SURB1,C2,5/17/24,10/2/24,11,Diptera,Chironomidae,L,BL,105,3.9,3.3,7.6,5.5,5,2.1,1.9,4.4,4.3,7.4,,,,,
GS,2/7/25,GS/SV,,C20524_SURB1,C2,5/17/24,10/2/24,11,Diptera,Limoniidae,L,BL,1,4.6,,,,,,,,,,,,,,
GS,2/7/25,GS/SV,,C20524_SURB1,C2,5/17/24,10/2/24,11,Diptera,Chironomidae,P,BL,5,3.4,3,3.2,2.3,3,,,,,,,,,,
GS,2/7/25,GS/SV,,C20524_SURB1,C2,5/17/24,10/2/24,11,Diptera,Chironomidae,A,BL,1,2.5,,,,,,,,,,,,,,
GS,2/7/25,GS/SV,,C20524_SURB1,C2,5/17/24,10/2/24,11,Trichoptera,Glossosomatidae,P,BL,1,5.7,,,,,,,,,,,,,,
