Sampling_date,Site,Replicate_number,Cyano,Green,Diatoms,Chlorophyll A,Velocity,Sample Type
2024-07-24,T2,10,0.21,0.29,0.18,0.68,0.12,Top rock
2024-07-24,T2,11,0.23,0,0.36,0.59,0.18,Top rock
2024-07-24,T2,12,0.1,0.41,0,0.51,0.132,Top rock
2024-07-24,T2,13,0.31,0,0.78,1.09,0.082,Top rock
2024-07-24,T2,14,0.36,0.13,0.5,0.99,0.95,Top rock
2024-07-24,T2,15,0.22,0.35,0,0.57,0.135,Top rock
2024-07-24,T2,16,0.21,0.21,0,0.42,0.13,Top rock
2024-07-24,T2,17,0.23,0.19,0.34,0.76,0.105,Top rock
2024-07-24,T2,18,0.16,0.23,0,0.39,0.097,Top rock
2024-07-24,T2,19,0.34,0.09,0.09,0.52,0.08,Top rock
2024-07-24,T2,20,0.16,0.36,0.07,0.59,0.089,Top rock
2024-07-24,T3,1,0.3,0,1.31,1.61,0.26,Top rock
2024-07-24,T3,2,0.03,0.24,0,0.27,0.175,Top rock
2024-07-24,T3,3,0.32,0,1.19,1.51,0.195,Top rock
2024-07-24,T3,4,0.2,0.17,0.03,0.4,0.195,Top rock
2024-07-24,T3,5,0.12,0.05,0.13,0.3,0.105,Top rock
2024-07-24,T3,6,0.27,0,0.93,1.2,0.142,Top rock
2024-07-24,T3,7,0.18,0.03,0,0.21,0.097,Top rock
2024-07-24,T3,8,0.28,0,1.01,1.29,0.122,Top rock
2024-07-24,T3,9,0.09,0.11,0,0.2,0.087,Top rock
2024-07-24,T3,10,0.6,0,1,1.6,0.185,Top rock
2024-07-24,T3,11,0.3,0,0.44,0.74,0.122,Top rock
2024-07-24,T3,12,0.11,0.06,0,0.17,0.172,Top rock
2024-07-24,T3,13,0.21,0.06,0,0.27,0.185,Top rock
2024-07-24,T3,14,0.07,0.13,0,0.2,0.2,Top rock
2024-07-24,T3,15,0.13,0.05,0,0.18,0.195,Top rock
2024-07-24,T3,16,0.1,0.26,0,0.36,0.17,Top rock
2024-07-24,T3,17,0.15,0.47,0.36,0.98,0.155,Top rock
2024-07-24,T3,18,0.2,0.06,0.05,0.31,0.222,Top rock
2024-07-24,T3,19,0.33,0,0.93,1.26,0.13,Top rock
2024-07-24,T3,20,0.2,0.54,0,0.74,0.085,Top rock
2024-08-13,C1.5,1,0.19,0.06,0,0.25,0.12,Top rock
2024-08-13,C1.5,2,0.21,0.2,0,0.41,0.155,Top rock
2024-08-13,C1.5,3,0.21,0.39,0,0.6,0.125,Top rock
2024-08-13,C1.5,4,0.2,0.09,0,0.29,0.112,Top rock
2024-08-13,C1.5,5,0.08,0.47,0,0.55,0.105,Top rock
2024-08-13,C1.5,6,0.09,0.1,0,0.19,0.114,Top rock
2024-08-13,C1.5,7,0.1,0.1,0,0.2,0.122,Top rock
2024-08-13,C1.5,8,0.15,0.16,0,0.31,0.157,Top rock
2024-08-13,C1.5,9,0.13,0.29,0.01,0.43,0.074,Top rock
2024-08-13,C1.5,10,0.17,0.14,0,0.31,0.082,Top rock
2024-08-13,C1.5,11,0.3,0.22,0,0.52,0.105,Top rock
2024-08-13,C1.5,12,0.16,0.05,0,0.21,0.235,Top rock
2024-08-13,C1.5,13,0.14,0.05,0,0.19,0.137,Top rock
2024-08-13,C1.5,14,0.14,0.15,0,0.29,0.147,Top rock
2024-08-13,C1.5,15,0.09,0.11,0,0.2,0.055,Top rock
2024-08-13,C1.5,16,0.1,0.13,0,0.23,0.18,Top rock
2024-08-13,C1.5,17,0.6,0.17,0.1,0.87,0.142,Top rock
2024-08-13,C1.5,18,0.15,0.64,0,0.79,0.287,Top rock
2024-08-13,C1.5,19,0.19,0.09,0,0.28,0.18,Top rock
2024-08-13,C1.5,20,0.08,0.15,0,0.23,0.137,Top rock
2024-08-13,C2,1,0.17,0.32,0,0.49,0.095,Top rock
2024-08-13,C2,2,0.11,0.16,0.08,0.35,0.107,Top rock
2024-08-13,C2,3,0.65,0.01,0,0.66,0.24,Top rock
2024-08-13,C2,4,0.3,0.07,0.33,0.7,0.062,Top rock
2024-08-13,C2,5,0.06,0.08,0,0.14,0.167,Top rock
2024-08-13,C2,6,0.24,0.08,0.03,0.35,0.197,Top rock
2024-08-13,C2,7,0.14,0.08,0,0.22,0.152,Top rock
2024-08-13,C2,8,0.32,0,0.6,0.92,0.212,Top rock
2024-08-13,C2,9,0.21,0.02,0.04,0.27,0.297,Top rock
2024-08-13,C2,10,0.17,0.07,0.11,0.35,0.077,Top rock
2024-08-13,C2,11,0.15,0.03,0,0.18,0.117,Top rock
2024-08-13,C2,12,0.18,0.07,0.01,0.26,0.422,Top rock
2024-08-13,C2,13,0.08,0.78,0,0.86,0.217,Top rock
2024-08-13,C2,14,0.21,0.38,0.08,0.67,0.2,Top rock
2024-08-13,C2,15,0.06,0.24,0.1,0.4,0.107,Top rock
2024-08-13,C2,16,0.17,0.06,0,0.23,0.262,Top rock
2024-08-13,C2,17,0.18,0.02,0,0.2,0.167,Top rock
2024-08-13,C2,18,0.11,0.08,0,0.19,0.19,Top rock
2024-08-13,C2,19,0.23,0.15,0.08,0.46,0.072,Top rock
2024-08-13,C2,20,0.43,0.24,0.35,1.02,0.217,Top rock
2024-08-13,T1,1,0.08,0.04,0,0.12,0.157,Top rock
2024-08-13,T1,2,0.17,0,0,0.17,0.132,Top rock
2024-08-13,T1,3,0.08,0,0,0.08,0.2,Top rock
2024-08-13,T1,4,0.09,0.15,0,0.24,0.04,Top rock
2024-08-13,T1,5,0.06,0.05,0,0.11,0.087,Top rock
2024-08-13,T1,6,0.75,0.04,0.25,1.04,0.18,Top rock
2024-08-13,T1,7,0.09,0,0,0.09,0.14,Top rock
2024-08-13,T1,8,0.24,0,0.62,0.86,0.12,Top rock
2024-08-13,T1,9,0.2,0,1.18,1.38,0.077,Top rock
2024-08-13,T1,10,0.22,0.03,0.68,0.93,0.114,Top rock
2024-08-13,T1,11,0.21,0,0.83,1.04,0.047,Top rock
2024-08-13,T1,12,0.03,0.23,0.06,0.32,0.062,Top rock
2024-08-13,T1,13,0.12,0.01,0.73,0.86,0.04,Top rock
2024-08-13,T1,14,0.14,0.06,0.12,0.32,0.152,Top rock
2024-08-13,T1,15,0.06,0.07,0,0.13,0.137,Top rock
2024-08-13,T1,16,0.08,0.22,0,0.3,0.197,Top rock
2024-08-13,T1,17,0.06,0.05,0,0.11,0.247,Top rock
2024-08-13,T1,18,0.2,0.39,0,0.59,0.26,Top rock
2024-08-13,T1,19,0.15,0.02,0,0.17,0.114,Top rock
2024-08-13,T1,20,0.17,0.53,0.11,0.81,0.185,Top rock
2024-08-13,T2,1,0.21,0.18,0,0.39,0.091,Top rock
2024-08-13,T2,2,0.28,0.28,0,0.56,0.1,Top rock
2024-08-13,T2,3,0.14,0.41,0,0.55,0.16,Top rock
2024-08-13,T2,4,0.24,0,0.91,1.15,0.047,Top rock
2024-08-13,T2,5,0.13,0.28,0.33,0.74,0.039,Top rock
2024-08-13,T2,6,0.42,0,1.53,1.95,0.06,Top rock
2024-08-13,T2,7,0.11,0.19,0.06,0.36,0.15,Top rock
2024-08-13,T2,8,0.12,0.75,0,0.87,0.162,Top rock
2024-08-13,T2,9,0.67,0,2.31,2.98,0.117,Top rock
2024-08-13,T2,10,0.23,0.12,0.31,0.66,0.022,Top rock
2024-08-13,T2,11,0.8,0,1.99,2.79,0.1,Top rock
2024-08-13,T2,12,1.2,0,5.31,6.51,0.07,Top rock
2024-08-13,T2,13,0.21,0,1.09,1.3,0.032,Top rock
2024-08-13,T2,14,0.17,0,0.74,0.91,0.04,Top rock
2024-08-13,T2,15,0.27,0,2.36,2.63,0.028,Top rock
2024-08-13,T2,16,0.25,0.53,0.28,1.06,0.097,Top rock
2024-08-13,T2,17,0.4,0,0.69,1.09,0.065,Top rock
2024-08-13,T2,18,1.87,0,1.1,2.97,0.08,Top rock
2024-08-13,T2,19,0.37,0.13,0.87,1.37,0.052,Top rock
2024-08-13,T2,20,0.17,0.47,0,0.64,0.157,Top rock
2024-08-13,T2,21,0.26,0.8,0.53,1.59,0.107,Top rock
2024-08-13,T3,1,0.14,0.14,0,0.28,0.095,Top rock
2024-08-13,T3,2,0.1,0.13,0,0.23,0.192,Top rock
2024-08-13,T3,3,1.12,0,3.42,4.54,0.077,Top rock
2024-08-13,T3,4,0.2,0.27,0.08,0.55,0.165,Top rock
2024-08-13,T3,5,0.15,0.39,0.11,0.65,0.112,Top rock
2024-08-13,T3,6,0.33,0.28,0.79,1.4,0.17,Top rock
2024-08-13,T3,7,0.21,0.37,0.62,1.2,0.097,Top rock
2024-08-13,T3,8,0.14,0.33,0,0.47,0.12,Top rock
2024-08-13,T3,9,0.24,0.49,0,0.73,0.202,Top rock
2024-08-13,T3,10,0.26,0.38,0,0.64,0.147,Top rock
2024-08-13,T3,11,0.11,0.45,0,0.56,0.089,Top rock
2024-08-13,T3,12,0.14,0.34,0,0.48,0.162,Top rock
2024-08-13,T3,13,0.19,0.05,0,0.24,0.13,Top rock
2024-08-13,T3,14,0.15,0.03,0,0.18,0.197,Top rock
2024-08-13,T3,15,0.23,0.21,0,0.44,0.322,Top rock
2024-08-13,T3,16,0.06,0.19,0,0.25,0.165,Top rock
2024-08-13,T3,17,0.19,0.1,0,0.29,0.072,Top rock
2024-08-13,T3,18,0.21,0.28,0,0.49,0.081,Top rock
2024-08-13,T3,19,0.12,0,0,0.12,0.08,Top rock
2024-08-13,T3,20,0.16,0.18,0,0.34,0.097,Top rock
2024-09-26,C2,1,0.68,0.41,0.58,1.67,1,Top rock
2024-09-26,C2,2,0.72,0.62,0.84,2.18,1.33,Top rock
2024-09-26,C2,3,0.54,0.51,0.38,1.43,0.76,Top rock
2024-09-26,C2,4,0.96,0.5,0.35,1.81,0.73,Top rock
2024-09-26,C2,5,0.58,0.31,0.15,1.04,1.13,Top rock
2024-09-26,C2,6,0.84,0.61,0.45,1.9,1.27,Top rock
2024-09-26,C2,7,1.07,0.46,0.69,2.22,1.04,Top rock
2024-09-26,C2,8,0.72,0.5,0.32,1.54,1.05,Top rock
2024-09-26,C2,9,0.48,0.18,0.33,0.99,1.04,Top rock
2024-09-26,C2,10,0.99,0.26,0.02,1.27,1.1,Top rock
2024-09-26,C2,11,0.84,0,3.79,4.63,0.59,Top rock
2024-09-26,C2,12,0.48,0.22,0.03,0.73,0.68,Top rock
2024-09-26,C2,13,0.73,1.06,0.95,2.74,0.86,Top rock
2024-09-26,C2,14,0.8,0.29,1.1,2.19,1.32,Top rock
2024-09-26,C2,15,0.84,0.16,0.96,1.96,0.77,Top rock
2024-09-26,C2,16,1.36,0.19,1.24,2.79,0.83,Top rock
2024-09-26,C2,17,0.76,0.16,0,0.92,0.58,Top rock
2024-09-26,C2,18,0.52,0.35,0.65,1.52,0.81,Top rock
2024-09-26,C2,19,1.12,0.48,4.28,5.88,0.57,Top rock
2024-09-26,C2,20,0.65,0.05,0,0.7,1.02,Top rock
2024-09-26,T1,1,0.26,0.38,0.02,0.66,0.72,Top rock
2024-09-26,T1,2,0.26,0.16,0,0.42,0.73,Top rock
2024-09-26,T1,3,0.5,0.26,0,0.76,0.9,Top rock
2024-09-26,T1,4,0.55,0.36,0.11,1.02,0.44,Top rock
2024-09-26,T1,5,0.19,0.21,0,0.4,0.88,Top rock
2024-09-26,T1,6,0.34,0,0,0.34,0.75,Top rock
2024-09-26,T1,7,0.32,0.06,0,0.38,0.78,Top rock
2024-09-26,T1,8,0.07,0.04,0,0.11,0.6,Top rock
2024-09-26,T1,9,0.11,0.16,0,0.27,0.9,Top rock
2024-09-26,T1,10,0.08,0.07,0,0.15,0.89,Top rock
2024-09-26,T1,11,0.1,0.12,0,0.22,0.74,Top rock
2024-09-26,T1,12,0.35,0.14,0.23,0.72,-0.07,Top rock
2024-09-26,T1,13,0.26,0.14,0.12,0.52,1.15,Top rock
2024-09-26,T1,14,0.42,0.63,0.55,1.6,0.85,Top rock
2024-09-26,T1,15,0.31,0.37,0.11,0.79,0.67,Top rock
2024-09-26,T1,16,0.15,0.58,0.15,0.88,0.7,Top rock
2024-09-26,T1,17,0.6,0,3.92,4.52,0.16,Top rock
2024-09-26,T1,18,0.74,0.77,0.95,2.46,0.55,Top rock
2024-09-26,T1,19,0.36,0.23,0.01,0.6,0.65,Top rock
2024-09-26,T1,20,0.28,0.37,0.15,0.8,0.71,Top rock
2024-09-26,T2,1,0.33,0,0.14,0.47,0.9,Top rock
2024-09-26,T2,2,0.25,0,0.08,0.33,0.76,Top rock
2024-09-26,T2,3,0.17,0,0,0.17,1.03,Top rock
2024-09-26,T2,4,0.89,0,4.49,5.38,0.06,Top rock
2024-09-26,T2,5,0.16,0.09,0,0.25,0.64,Top rock
2024-09-26,T2,6,0.19,0.13,0.11,0.43,0.65,Top rock
2024-09-26,T2,7,0.24,0.06,0,0.3,0.92,Top rock
2024-09-26,T2,8,0.21,0.24,0.16,0.61,0.62,Top rock
2024-09-26,T2,9,0.39,0,0,0.39,0.71,Top rock
2024-09-26,T2,10,1.6,0,6.89,8.49,0.37,Top rock
2024-09-26,T2,11,0.38,0.03,0,0.41,0.72,Top rock
2024-09-26,T2,12,0.88,0,0.51,1.39,0.35,Top rock
2024-09-26,T2,13,0.16,0.25,0,0.41,0.4,Top rock
2024-09-26,T2,14,0.29,0.08,0,0.37,0.54,Top rock
2024-09-26,T2,15,0.93,0,2.67,3.6,0.74,Top rock
2024-09-26,T2,16,0.07,0.21,0.08,0.36,0.41,Top rock
2024-09-26,T2,17,0.13,0.52,0,0.65,0.32,Top rock
2024-09-26,T2,18,0.39,0,0,0.39,0.55,Top rock
2024-09-26,T2,19,0.39,0,1.12,1.51,0.54,Top rock
2024-09-26,T2,20,0.68,0,0.4,1.08,0.32,Top rock
2024-09-26,T3,1,0.21,0.2,0.09,0.5,0.8,Top rock
2024-09-26,T3,2,1.65,0,0.48,2.13,1.09,Top rock
2024-09-26,T3,3,0.27,0.07,0,0.34,1.12,Top rock
2024-09-26,T3,4,0.25,0.1,0.03,0.38,1.22,Top rock
2024-09-26,T3,5,0.21,0.57,0,0.78,1.08,Top rock
2024-09-26,T3,6,0.09,0.02,0,0.11,1.08,Top rock
2024-09-26,T3,7,0.15,0.36,0,0.51,0.81,Top rock
2024-09-26,T3,8,0.25,0.06,0,0.31,0.65,Top rock
2024-09-26,T3,9,0.16,0.15,0,0.31,0.71,Top rock
2024-09-26,T3,10,0.21,0.05,0,0.26,0.6,Top rock
2024-09-26,T3,11,0.21,0.28,0,0.49,0.51,Top rock
2024-09-26,T3,12,0.19,0.3,0,0.49,0.6,Top rock
2024-09-26,T3,13,0.24,0,0,0.24,0.52,Top rock
2024-09-26,T3,14,0.18,0.21,0,0.39,0.61,Top rock
2024-09-26,T3,15,0.17,0.01,0,0.18,0.86,Top rock
2024-09-26,T3,16,0.19,0.32,0,0.51,0.77,Top rock
2024-09-26,T3,17,0.18,0.23,0.04,0.45,0.81,Top rock
2024-09-26,T3,18,0.55,0.08,0,0.63,0.49,Top rock
2024-09-26,T3,19,0.29,0,0,0.29,0.53,Top rock
2024-09-26,T3,20,0.12,0.12,0,0.24,0.37,Top rock
2024-10-26,C1.5,1,0.32,0.15,0.57,1.04,0.34,Top rock
2024-10-26,C1.5,2,0.43,0.15,0.57,1.15,0.23,Top rock
2024-10-26,C1.5,3,0.49,0,3.43,3.92,0.3,Top rock
2024-10-26,C1.5,4,0,0.66,0.35,1.01,0.42,Top rock
2024-10-26,C1.5,5,0.05,0.07,0,0.12,0.44,Top rock
2024-10-26,C1.5,6,0.95,0.19,0.12,1.26,0.24,Top rock
2024-10-26,C1.5,7,0.71,0,1.24,1.95,0.48,Top rock
2024-10-26,C1.5,8,0.63,0.1,1.17,1.9,0.23,Top rock
2024-10-26,C1.5,9,0.24,0.06,1.4,1.7,0.34,Top rock
2024-10-26,C1.5,10,0.58,0,3.76,4.34,0.49,Top rock
2024-10-26,C1.5,11,0.19,0.26,0.55,1,0.55,Top rock
2024-10-26,C1.5,12,0.24,0.03,0.35,0.62,0.41,Top rock
2024-10-26,C1.5,13,0.06,0.03,0,0.09,0.81,Top rock
2024-10-26,C1.5,14,0.01,0.11,0.38,0.5,0.34,Top rock
2024-10-26,C1.5,15,0.02,0.08,0,0.1,0.32,Top rock
2024-10-26,C1.5,16,0.92,0,0.27,1.19,0.67,Top rock
2024-10-26,C1.5,17,0.06,0.25,0.06,0.37,0.57,Top rock
2024-10-26,C1.5,18,0.69,0,0.12,0.81,0.87,Top rock
2024-10-26,C1.5,19,0.12,0.16,0,0.28,0.67,Top rock
2024-10-26,C1.5,20,0,0.39,0.25,0.64,0.42,Top rock
2024-10-26,C2,1,0.33,0.17,0,0.5,0.44,Top rock
2024-10-26,C2,2,2.69,0,5.48,8.17,0.34,Top rock
2024-10-26,C2,3,0.39,0.22,0,0.61,0.5,Top rock
2024-10-26,C2,4,0.6,0,0.33,0.93,0.26,Top rock
2024-10-26,C2,5,0.17,0.27,0,0.44,0.56,Top rock
2024-10-26,C2,6,0.97,0,5.06,6.03,0.19,Top rock
2024-10-26,C2,7,1.57,0,6.57,8.14,0.39,Top rock
2024-10-26,C2,8,0.98,0,3.16,4.14,0.61,Top rock
2024-10-26,C2,9,0.46,0,1.97,2.43,0.22,Top rock
2024-10-26,C2,10,0.34,0.01,0.15,0.5,0.34,Top rock
2024-10-26,C2,11,0.4,0.35,0,0.75,0.43,Top rock
2024-10-26,C2,12,0.81,0,1.88,2.69,0.52,Top rock
2024-10-26,C2,13,1.11,0,3.91,5.02,0.27,Top rock
2024-10-26,C2,14,0.46,2.74,1.17,4.37,0.01,Top rock
2024-10-26,C2,15,0.53,0,1.14,1.67,0.46,Top rock
2024-10-26,C2,16,0.28,0.65,0.18,1.11,0.43,Top rock
2024-10-26,C2,17,0.57,0,0.44,1.01,0.31,Top rock
2024-10-26,C2,18,0.67,0,3.5,4.17,-0.06,Top rock
2024-10-26,C2,19,1.48,0,6.82,8.3,0.55,Top rock
2024-10-26,C2,20,0.54,0.37,0.65,1.56,0.49,Top rock
2024-10-26,T1,1,1.23,0,5.17,6.4,0.27,Top rock
2024-10-26,T1,2,0.36,0,1.11,1.47,0.29,Top rock
2024-10-26,T1,3,1.83,0,8.88,10.71,0.31,Top rock
2024-10-26,T1,4,0.71,0,2.05,2.76,0.49,Top rock
2024-10-26,T1,5,0.07,0.03,0,0.1,0.31,Top rock
2024-10-26,T1,6,0.55,0,2.84,3.39,0.36,Top rock
2024-10-26,T1,7,0.34,0,1.48,1.82,0.27,Top rock
2024-10-26,T1,8,0.38,0,2.12,2.5,0.23,Top rock
2024-10-26,T1,9,0.52,0,2.88,3.4,0.38,Top rock
2024-10-26,T1,10,0.16,0.08,0.76,1,0.02,Top rock
2024-10-26,T1,11,0.68,0,4.06,4.74,0.21,Top rock
2024-10-26,T1,12,0.04,0.11,0,0.15,0.29,Top rock
2024-10-26,T1,13,0.66,0,3.28,3.94,0.03,Top rock
2024-10-26,T1,14,0.63,0,0.64,1.27,0.64,Top rock
2024-10-26,T1,15,0.58,0,2.68,3.26,0.7,Top rock
2024-10-26,T1,16,0.51,0.46,0.22,1.19,0.5,Top rock
2024-10-26,T1,17,0.81,0,3.59,4.4,0.54,Top rock
2024-10-26,T1,18,0.32,0.05,0.67,1.04,0.6,Top rock
2024-10-26,T1,19,0.23,0.17,0.14,0.54,0.33,Top rock
2024-10-26,T1,20,0.35,0.21,0.94,1.5,0.45,Top rock
2024-10-26,T2,1,0.38,0.07,0,0.45,0.47,Top rock
2024-10-26,T2,2,1.17,0,1.68,2.85,0.55,Top rock
2024-10-26,T2,3,1.06,0,3.46,4.52,0.39,Top rock
2024-10-26,T2,4,0.26,0.63,0,0.89,0.26,Top rock
2024-10-26,T2,5,0.1,0.14,0,0.24,0.41,Top rock
2024-10-26,T2,6,1.72,0,3.68,5.4,0.47,Top rock
2024-10-26,T2,7,3.51,0,0.33,3.84,0.4,Top rock
2024-10-26,T2,8,0.28,0,0.73,1.01,0.38,Top rock
2024-10-26,T2,9,0.16,0.34,0,0.5,0.49,Top rock
2024-10-26,T2,10,0.65,0,3.08,3.73,0.39,Top rock
2024-10-26,T2,11,0.08,0.08,0.44,0.6,0.14,Top rock
2024-10-26,T2,12,0.29,0.06,0.78,1.13,0.11,Top rock
2024-10-26,T2,13,0.22,0.04,0.72,0.98,0.15,Top rock
2024-10-26,T2,14,0.7,0,3.07,3.77,0.15,Top rock
2024-10-26,T2,15,0.65,0,3.09,3.74,0.22,Top rock
2024-10-26,T2,16,0.06,0.13,0,0.19,0.09,Top rock
2024-10-26,T2,17,0.97,0,2.58,3.55,0.37,Top rock
2024-10-26,T2,18,1.17,0,0.41,1.58,0.17,Top rock
2024-10-26,T2,19,0.21,0.41,0,0.62,0.27,Top rock
2024-10-26,T2,20,0.38,1.33,0,1.71,0.53,Top rock
2024-10-26,T3,1,0.15,0.24,0,0.39,0.52,Top rock
2024-10-26,T3,2,0.09,0.18,0,0.27,0.4,Top rock
2024-10-26,T3,3,0.06,0.1,0,0.16,0.26,Top rock
2024-10-26,T3,4,0.54,0.44,0.33,1.31,0.36,Top rock
2024-10-26,T3,5,0.16,0.5,0.39,1.05,0.52,Top rock
2024-10-26,T3,6,0.16,0.4,0.36,0.92,0.21,Top rock
2024-10-26,T3,7,1.61,0,3.03,4.64,0.58,Top rock
2024-10-26,T3,8,1.76,0,0.69,2.45,0.38,Top rock
2024-10-26,T3,9,3.07,0,0.38,3.45,0.29,Top rock
2024-10-26,T3,10,0.15,0.05,0,0.2,0.37,Top rock
2024-10-26,T3,11,0.19,0.29,0.06,0.54,0.31,Top rock
2024-10-26,T3,12,1.31,0,2.06,3.37,0.52,Top rock
2024-10-26,T3,13,0.11,0.26,0.35,0.72,0.6,Top rock
2024-10-26,T3,14,0.1,0.35,0,0.45,0.27,Top rock
2024-10-26,T3,15,1.04,0,0.4,1.44,0.75,Top rock
2024-10-26,T3,16,2.19,0,0.23,2.42,0.55,Top rock
2024-10-26,T3,17,0.25,0,0.7,0.95,0.34,Top rock
2024-10-26,T3,18,0.12,0,0,0.12,0.31,Top rock
2024-10-26,T3,19,0.26,0,0,0.26,0.46,Top rock
2024-10-26,T3,20,0.11,0.36,0.04,0.51,0.24,Top rock
2024-11-14,C1.5,1,0,0.03,0,0.03,0.3,Top rock
2024-11-14,C1.5,2,0.06,0.22,0,0.28,0.34,Top rock
2024-11-14,C1.5,3,0.08,0.17,0,0.25,0.47,Top rock
2024-11-14,C1.5,4,0.05,0.11,0,0.16,0.24,Top rock
2024-11-14,C1.5,5,0.03,0,0,0.03,0.33,Top rock
2024-11-14,C1.5,6,0.06,0.07,0,0.13,0.35,Top rock
